brand,model,year,fuel,price
BMW,R 100 S   (1976-1979),1976,2,2516
BMW,R 100 S   (1976-1979),1977,2,5087
BMW,R 100 RT   (1978-1996),1978,2,10621
BMW,R 100 S   (1976-1979),1978,2,1579
BMW,R 100 RT   (1978-1996),1979,2,9819
BMW,R 100 S   (1976-1979),1979,2,3307
BMW,R 100 RT   (1978-1996),1980,2,8192
BMW,R 100 RT   (1978-1996),1981,2,1642
BMW,R 100 RT   (1978-1996),1982,2,6488
BMW,K 100   (1983-1994),1983,2,7196
BMW,R 100 RT   (1978-1996),1983,2,6687
BMW,F 650   (1984-1996),1984,2,4547
BMW,K 100   (1983-1994),1984,2,9780
BMW,K 100 RS   (1984-1994),1984,2,10931
BMW,K 100 RS Style   (1984),1984,2,7484
BMW,K 100 RT   (1984-1993),1984,2,4944
BMW,K 75   (1984-1996),1984,2,5921
BMW,R 100 RT   (1978-1996),1984,2,3515
BMW,R 80 ST   (1984),1984,2,9408
BMW,F 650   (1984-1996),1985,2,2560
BMW,K 100   (1983-1994),1985,2,9169
BMW,K 100 RS   (1984-1994),1985,2,1603
BMW,K 100 RT   (1984-1993),1985,2,10677
BMW,K 75   (1984-1996),1985,2,2996
BMW,R 100 RT   (1978-1996),1985,2,4462
BMW,F 650   (1984-1996),1986,2,2732
BMW,K 100   (1983-1994),1986,2,4488
BMW,K 100 LT   (1986-1994),1986,2,9817
BMW,K 100 RS   (1984-1994),1986,2,10112
BMW,K 100 RS Motorsport   (1986-1988),1986,2,3203
BMW,K 100 RT   (1984-1993),1986,2,5530
BMW,K 75   (1984-1996),1986,2,4613
BMW,K 75 RT   (1986-1994),1986,2,8041
BMW,K 75 S Special   (1986-1988),1986,2,10995
BMW,K 750   (1986-1999),1986,2,5326
BMW,R 100 RT   (1978-1996),1986,2,6722
BMW,R 80 GS   (1986-1992),1986,2,7028
BMW,F 650   (1984-1996),1987,2,2308
BMW,K 100   (1983-1994),1987,2,8990
BMW,K 100 LT   (1986-1994),1987,2,5512
BMW,K 100 RS   (1984-1994),1987,2,7938
BMW,K 100 RS Motorsport   (1986-1988),1987,2,10267
BMW,K 100 RT   (1984-1993),1987,2,5688
BMW,K 75   (1984-1996),1987,2,10480
BMW,K 75 RT   (1986-1994),1987,2,10568
BMW,K 75 S   (1987-1996),1987,2,7598
BMW,K 75 S Special   (1986-1988),1987,2,6388
BMW,K 750   (1986-1999),1987,2,3007
BMW,R 100 RS   (1987-1995),1987,2,7330
BMW,R 100 RT   (1978-1996),1987,2,6663
BMW,R 80 GS   (1986-1992),1987,2,8945
BMW,F 650   (1984-1996),1988,2,5041
BMW,K 100   (1983-1994),1988,2,10397
BMW,K 100 LT   (1986-1994),1988,2,8404
BMW,K 100 RS   (1984-1994),1988,2,9229
BMW,K 100 RS ABS   (1988-1993),1988,2,7777
BMW,K 100 RS Motorsport   (1986-1988),1988,2,7510
BMW,K 100 RT   (1984-1993),1988,2,9814
BMW,K 75   (1984-1996),1988,2,5068
BMW,K 75 C   (1988-1989),1988,2,7009
